pkAddress,addressStreet,addressTown,addressStreet2,addressHouseNumber,addressPoBox,addressZip,addressCountry,addressGeoDataLongitude,addressGeoDataLatitude,fkRegion,fkCountry
421,"Forchstrasse","Zürich",,"190",,"8032","Schweiz","8.567461","47.360156",,
422,"Aathalstrasse","Uster",,"74",,"8610","Schweiz","8.739336","47.345838",,4
423,"Bahnhofstraße","Kirchentellinsfurt",,"26",,"72138","Deutschland","9.137881","48.531469",,
424,"Binsenfeldstrasse","Lustenau",,"13a",,"6890","Österreich","9.666997","47.419831",,
426,"Liechtensteinerstrasse","Feldkirch",,"45",,"6800","Österreich","9.586981","47.230889",,
427,"Luzernerstrasse","Schötz",,"72",,"6247","Schweiz","7.996798","47.162605",,
429,"Gländstrasse","Rothrist",,"64",,"4852","Schweiz","7.903540","47.295110",,
430,"Emmenweidstrasse","Emmenbrücke",,"12",,"6020","Schweiz","8.275732","47.073248",,
432,"Alte Tannerstrasse","Tann",,"37",,"8632","Schweiz","8.852355","47.270183",,
433,"Kreuzkapellenweg","Wettingen",,"2",,"5430","Schweiz","8.340687","47.460286",,
434,"Thunstrasse","Rubigen",,"67",,"3113","Schweiz","7.548635","46.893309",,
436,"Nestenbergstrasse","Ebnat-Kappel",,"888",,"9642","Schweiz","9.129390","47.254378",,
437,"Tramstrasse","Suhr",,"79",,"5034","Schweiz","8.073177","47.380943",,
438,"Seewadelstrasse","Auslikon",,"8",,"8331","Schweiz","8.804385","47.343835",,
439,"Bremschlstrasse","Bürs",,"22",,"6706","Österreich","9.818525","47.147560",,
441,"Allmendstrasse","Zürich",,"11",,"8002","Schweiz","8.526016","47.352049",,
442,"Ahornstrasse","Zürich",,"21",,"8051","Schweiz","8.567741","47.403701",,
443,"Amthausstrasse","Dornach",,"25",,"4143","Schweiz","7.607828","47.488317",,
444,"Feldeggstrasse","Winterthur",,"3",,"8406","Schweiz","8.712252","47.489325",,
445,"Keplerstrasse","Göppingen",,"22",,"73035","Deutschland","9.640070","48.695430",,
446,"Burgstrasse","Uster",,"75",,"8610","Schweiz","8.725880","47.341228",,
447,"Weyerstrasse","Wabern",,"26",,"3084","Schweiz","7.456628","46.928140",,
448,"Zugerstrasse","Cham",,"6",,"6330","Schweiz","8.460078","47.181263",,
449,"Gruberstrasse","Heiden",,"2",,"9410","Schweiz","9.530416","47.446986",,
450,"Bahnhofstrasse","Meggen",,"10a",,"6045","Schweiz","8.382298","47.049776",,
451,"Wagnerstrasse","Bern",,"11",,"3007","Schweiz","7.424595","46.943914",,
452,"Else Züblin-Str.","Winterthur",,"19/Gebäude 712",,"8404","Schweiz","8.763207","47.501356",,
453,"Dorfstrasse","Gümligen",,"11a",,"3073","Schweiz","7.503653","46.936233",,
454,"Breitistrasse","Wetzikon",,"25",,"8620","Schweiz","8.8110529","47.3384795",,
455,"Riedenerstrasse","Wallisellen",,"52",,"8304","Schweiz","8.6017676","47.4162527",,
456,"Poststrasse","Volketswil",,"15",,"8604","Schweiz","8.6928864","47.3882837",,
457,"Edikerstrasse","Dürnten",,"18c / alte Seidenfabrik",,"8635","Schweiz","8.843165","47.281559",,
458,"Landschaustrasse","Luzern",,"9",,"6006","Schweiz","8.3149077","47.0614056",,
459,"Am Wasser","Dübendorf",,"1",,"8600","Schweiz","8.604731","47.404188",,
460,"Leihgasse","Baar",,"4",,"6340","Schweiz","8.5270787","47.1941643",,
462,"Elfenweg","Zürich",,"15",,"8038","Schweiz","8.524037","47.348397",,
463,"Wallikerstrasse","Pfäffikon",,"76",,"8330","Schweiz","8.792615","47.373463",,
464,"Dennliweg","Langenthal",,"54",,"4900","Schweiz","7.7788944","47.2019371",,
465,"Lauterbachstrasse","Albstadt",,"1",,"72459","Deutschland","8.94344","48.21342",,
466,"Tössstrasse","Rorbas",,"2",,"8427","Schweiz","8.579110","47.533622",,
467,"Venusstrasse","Augst",,"5",,"4302","Schweiz","7.7276141","47.5312604",,
468,"Bahnhofweg","Immensee",,"1",,"6405","Schweiz","8.4675198","47.0888935",,
469,"Fraunhoferstaße","Martinsried",,"3",,"82152","Deutschland","11.451958","48.108920",,
470,"Grindelstrasse","Volketswil",,"8",,"8604","Schweiz","8.6648314","47.385716",,
471,"Haltenstrasse","Meilen",,"10",,"8706","Schweiz","8.6548532","47.2669293",,
473,"Borsteler Chaussee","Verden/Aller",,"116",,"27283","Deutschland","9.26974","52.91074",,
474,"Rautenastrasse","Roethis",,"9",,"6832","Österreich","9.653623","47.291715",,
475,"Oelder Straße","Ennigerloh",,"94",,"59320","Deutschland","8.043060","51.833830",,
476,"Halenfeldstrasse","Ittigen",,"1",,"3063","Schweiz","7.4816604","46.9769811",,
477,"Lindenmoosstrasse","Affoltern a.A.",,"10",,"8910","Schweiz","8.4446077","47.2707598",,
478,"Klosterweg","Flintsbach am Inn",,"1",,"83126","Deutschland","12.120481","47.726996",,
479,"Bodenseestraße","Lindau",,"33",,"88131","Deutschland","9.683344","47.595860",,
480,"Badweg","Schöftland",,"14",,"5040","Schweiz","8.047393","47.299893",,
484,"Zimmersmühlenweg","Oberursel",,"75",,"61440","Deutschland","8.584763","50.186965",,
486,"Alte Landstrasse","Männedorf",,"413",,"8708","Schweiz","8.707853","47.247738",,
487,"Rosslimatte","Luzern",,"49",,"6005","Schweiz","8.3122075","47.0441347",,
488,"Obere Goldey","Unterseen",,"73",,"3800","Schweiz","7.8530284","46.6892309",,
489,"Aathalstrasse","Uster",,"65",,"8610","Schweiz","8.7343965","47.3453758",,
490,"Boschstrasse","Geisenhausen",,"18",,"84144","Deutschland","12.2493392","48.4788648",,
491,"Guschstrasse","Uster",,"32",,"8610","Schweiz","8.7238357","47.3453712",,
492,"Alpenstrasse","Amriswil",,"32",,"8580","Schweiz","9.3105864","47.5503847",,
494,"Aathalstrasse","Uster",,"59",,"8610","Schweiz","8.7339016","47.3455485",,
495,"Riedweg","Full-Reuenthal",,"525",,"5324","Schweiz","8.2039343","47.6037643",,
496,"Wallisellenstrasse","Zürich",,"241",,"8050","Schweiz","8.558985","47.411026",,
497,"Grubenstrasse","Zürich",,"56",,"8045","Schweiz","8.510802","47.362792",,
498,"Regensdorferstrasse","Zuerich",,"190",,"8049","Schweiz","8.4841445","47.4130768",,
502,"Am Borsigturm","Berlin",,"17",,"13507","Deutschland","13.2844678","52.5835575",,
503,"Ebenfurtherstraße","Landegg",,"6",,"2486","Österreich","16.3955526","47.9000845",,
505,"Dättlikerstrasse","Freienstein",,"33",,"8427","Schweiz","8.5855038","47.5327072",,
506,"Mülacher","Buttisholz",,"42",,"6018","Schweiz","8.1009467","47.1171428",,
507,"Curtins","Zernez",,"101A",,"7530","Schweiz","10.0947782","46.7012707",,
510,"Laupenstrasse","Bern",,"8",,"3008","Schweiz","7.4363351","46.9474786",,
511,"Industriestrasse","Sempach Station",,"7",,"6203","Schweiz","8.202645","47.1163567",,
513,"Dorfstrasse","Albbruck",,"20",,"79774","Deutschland","8.11027","47.58661",,
514,"Grünmattstrasse","Emmen",,"8",,"6032","Schweiz","8.3103155","47.0831757",,
517,"Astrastrasse","Steffisburg",,"23",,"3612","Schweiz","7.6293724","46.7736636",,
519,"Unterseestrasse","Arosa",,"7",,"7050","Schweiz","9.6818608","46.7802394",,
520,"Hauptstrasse","Balgach",,"8",,"9436","Schweiz","9.6125325","47.4088951",,
525,"Südallee","Aarau",,"11",,"5000","Schweiz","8.0598101","47.3860251",,
526,"Altreuteweg","Bregenz",,"1",,"6900","Österreich","9.7541853","47.506537",,
529,"Fraunhoferstaße","Planegg",,"3",,"82152","Deutschland","11.44749","48.11005",,
530,"Dr.-Schneider-Straße","Höchst",,"33",,"6973","Österreich","9.6417412","47.4625709",,
532,"Rothenbad","Luzern",,"18",,"6015","Schweiz","8.2770278","47.068561",,
